names,scores,logfoldchanges,pvals,pvals_adj
FAM107B,38.70543,0.7848448,0.0,0.0
NAB1,38.68489,2.098318,0.0,0.0
HSPA8,38.57832,0.45400608,0.0,0.0
DDIT4,38.55161,0.7588019,0.0,0.0
PSMB8,38.532547,0.7103905,0.0,0.0
CD81,38.43464,1.1612659,0.0,0.0
STAT3,38.422844,0.70408154,0.0,0.0
ARPC1B,38.30816,0.5593936,0.0,0.0
PPM1G,38.158916,0.90689397,0.0,0.0
PTTG1,38.083115,1.5249302,0.0,0.0
APOBEC3G,37.7295,1.4326763,0.0,0.0
CFL1,37.729393,0.35835332,0.0,0.0
PTPN22,37.703934,1.139603,0.0,0.0
KLF3,-38.43285,-2.5129268,0.0,0.0
S100A6,-39.831924,-0.58600605,0.0,0.0
SMDT1,-40.062378,-0.8919372,0.0,0.0
S1PR1,-40.100983,-3.5778966,0.0,0.0
TC2N,-40.191376,-1.4287518,0.0,0.0
MT-ND2,-40.81854,-0.5339367,0.0,0.0
GIMAP7,-42.47444,-0.9268745,0.0,0.0
EIF4A1,-42.767776,-1.3454745,0.0,0.0
MT-CO3,-42.883274,-0.46993122,0.0,0.0
RASGRP2,-42.997887,-2.7566671,0.0,0.0
AQP3,-43.497715,-1.4218198,0.0,0.0
MT-ND3,-44.18935,-0.65183884,0.0,0.0
PFDN5,-44.382465,-0.4414026,0.0,0.0
CD55,-44.413174,-1.7834513,0.0,0.0
MT-ND1,-44.43561,-0.55778354,0.0,0.0
VAMP2,-44.62865,-1.4978696,0.0,0.0
RPS11,-45.07494,-0.5143872,0.0,0.0
GIMAP5,-45.550507,-2.1769726,0.0,0.0
TCF7,-47.42696,-1.4414301,0.0,0.0
RPL15,-48.1197,-0.3711853,0.0,0.0
EIF3E,-48.31161,-0.82776594,0.0,0.0
LEF1,-49.62275,-1.9072897,0.0,0.0
EEF1D,-50.385834,-0.47451755,0.0,0.0
GPR183,-51.30505,-1.4936402,0.0,0.0
CD52,-52.354866,-0.7678779,0.0,0.0
S100A10,-52.67787,-0.9205781,0.0,0.0
NOSIP,-53.069267,-1.6641378,0.0,0.0
PCBP2,-53.73215,-1.1235652,0.0,0.0
FLT3LG,-54.494514,-1.6848372,0.0,0.0
EEF2,-54.585785,-0.5584961,0.0,0.0
SELL,-54.786556,-1.711951,0.0,0.0
CCR7,-55.87258,-2.1397507,0.0,0.0
MT-CYB,-56.24993,-0.6333708,0.0,0.0
LIME1,-57.857403,-2.1711767,0.0,0.0
RPS24,-58.89045,-0.44515607,0.0,0.0
RPS19,-59.084675,-0.4438544,0.0,0.0
RPL27A,-60.768898,-0.7871521,0.0,0.0
RPL27,-61.315678,-0.6235486,0.0,0.0
RPS29,-62.765106,-0.74873173,0.0,0.0
CD48,-62.768307,-1.2014966,0.0,0.0
TOMM7,-63.642773,-0.816456,0.0,0.0
RPL31,-65.118065,-0.74847543,0.0,0.0
RPLP1,-65.74126,-0.43416327,0.0,0.0
UBA52,-67.214035,-0.6035534,0.0,0.0
RPL4,-68.44747,-0.71914715,0.0,0.0
RPL35,-68.67113,-0.60903615,0.0,0.0
RPL37A,-68.78209,-0.6974273,0.0,0.0
RPL7,-69.05478,-0.8222606,0.0,0.0
RPS20,-69.467735,-0.99229956,0.0,0.0
ANXA1,-69.99995,-2.057237,0.0,0.0
IL7R,-70.91539,-1.3317757,0.0,0.0
RPL41,-71.32653,-1.1430978,0.0,0.0
RPL24,-72.28363,-0.5943072,0.0,0.0
LDHB,-72.3993,-1.108437,0.0,0.0
EEF1G,-74.23755,-0.90772325,0.0,0.0
RPS9,-75.21462,-0.6422476,0.0,0.0
NACA,-76.30257,-0.676302,0.0,0.0
RPL6,-76.36561,-0.611051,0.0,0.0
EMP3,-76.38854,-1.5913228,0.0,0.0
RPL38,-77.32647,-0.94566745,0.0,0.0
FAU,-78.30868,-0.58052963,0.0,0.0
RPL17,-79.2413,-0.6924818,0.0,0.0
RPS16,-80.24841,-0.70540035,0.0,0.0
RPLP0,-80.40368,-0.73461854,0.0,0.0
VIM,-81.012024,-1.3031021,0.0,0.0
RPL12,-81.077644,-0.63599145,0.0,0.0
PABPC1,-82.74022,-0.95095736,0.0,0.0
RPS27,-83.626755,-0.7600334,0.0,0.0
RPL21,-84.15429,-0.8229893,0.0,0.0
RPL26,-84.61068,-0.6690704,0.0,0.0
LTB,-84.625946,-1.5812052,0.0,0.0
RPL13A,-85.4007,-0.87874293,0.0,0.0
RPS2,-86.47861,-0.6660403,0.0,0.0
RPS7,-87.00644,-0.65680337,0.0,0.0
KLF2,-87.83386,-2.784383,0.0,0.0
RPL23A,-88.071754,-0.84068906,0.0,0.0
RPL7A,-88.71852,-0.68547237,0.0,0.0
RPL8,-89.086235,-0.71400607,0.0,0.0
RPL22,-89.25736,-0.95065266,0.0,0.0
RPL37,-90.75469,-0.8129208,0.0,0.0
RPS15,-91.02731,-0.6503961,0.0,0.0
RPSA,-91.34896,-0.8960976,0.0,0.0
RPL36,-91.35289,-0.8248827,0.0,0.0
RPL10A,-92.8709,-0.9087822,0.0,0.0
